chr1	1217689	1218457	2	2	1	1	0	6
chr1	1524398	1525239	1	1	1	1	0	4
chr1	1525292	1526460	1	1	1	1	0	8
chr1	2410452	2412390	2	2	1	1	0	11
chr1	3632339	3633397	2	2	1	0	1	5
chr1	5491051	5491143	2	2	1	0	1	3
chr1	6072799	6073732	1	1	1	1	0	4
chr1	10649193	10649282	2	2	1	0	1	3
chr1	11800323	11801160	2	2	1	0	2	7
chr1	16648402	16648431	1	1	1	1	0	5
chr1	19159724	19162946	1	1	0	1	0	12
chr1	21855676	21855786	2	2	1	1	0	12
chr1	21855913	21857014	2	2	1	1	0	14
chr1	21880255	21880362	2	2	1	1	0	13
chr1	23694792	23695797	1	1	1	2	0	17
chr1	23827886	23837067	1	1	0	1	0	12
chr1	25801161	25802015	1	1	1	0	2	4
chr1	25801161	25805141	1	1	1	0	2	4
chr1	26795215	26797562	1	1	1	0	1	5
chr1	31732613	31732971	2	2	1	1	0	9
chr1	35808436	35816881	1	1	1	1	0	5
chr1	39300363	39309569	1	1	1	0	1	6
chr1	40984992	40987371	1	1	1	1	0	20
chr1	42817254	42824547	1	1	1	0	1	5
chr1	43960538	43992319	1	1	0	1	0	12
chr1	44759349	44760279	1	1	1	0	1	4
chr1	44776775	44777613	1	1	1	1	0	1
chr1	45519055	45522777	2	2	1	1	0	7
chr1	45613249	45614095	1	1	1	1	0	3
chr1	46810950	46812176	1	1	1	0	1	4
chr1	53835621	53838204	2	2	1	1	0	10
chr1	54228827	54239128	2	2	1	0	1	3
chr1	54854235	54865302	2	2	1	1	0	5
chr1	56751204	56767828	2	2	1	0	3	6
chr1	63367688	63370770	1	1	1	0	1	6
chr1	78119500	78125880	1	1	1	0	1	4
chr1	89384287	89385229	1	1	1	0	2	4
chr1	92840640	92841765	1	1	1	0	1	11
chr1	94189353	94189925	2	2	1	1	0	10
chr1	108600687	108606222	1	1	1	1	0	11
chr1	108628805	108629587	1	1	1	1	0	7
chr1	111448805	111449054	2	2	1	0	1	3
chr1	143699484	143729438	2	2	0	0	1	27
chr1	144551857	144560741	1	1	0	0	2	15
chr1	150263420	150263661	1	1	1	0	2	6
chr1	150435953	150456323	1	1	0	1	0	14
chr1	153543924	153544653	2	2	1	1	0	4
chr1	153544810	153545752	2	2	1	1	0	5
chr1	153991035	153991114	1	1	1	3	0	26
chr1	154963932	154965542	2	2	1	0	1	3
chr1	155056250	155056385	1	1	1	1	0	4
chr1	156592210	156592364	1	1	1	0	1	3
chr1	160296150	160297342	2	2	1	1	0	7
chr1	162590512	162592731	1	1	1	2	0	7
chr1	169419160	169421362	2	2	1	0	1	8
chr1	174999690	175000088	1	1	1	0	1	3
chr1	200666752	200669766	2	2	1	0	1	5
chr1	201294046	201313165	1	1	1	1	3	4
chr1	202966899	202967190	2	2	1	1	0	5
chr1	203831772	203833790	1	1	1	0	1	7
chr1	206731920	206732574	1	1	1	1	0	17
chr1	227030471	227031297	2	2	1	0	1	3
chr1	228628183	228630431	1	1	0	0	2	36
chr1	228628183	228630441	1	1	0	0	1	27
chr1	228628183	228632672	1	1	0	0	2	36
chr1	228628183	228632682	1	1	0	0	1	27
chr1	228628183	228634912	1	1	0	0	2	36
chr1	228628183	228634922	1	1	0	0	1	27
chr1	228628183	228637137	1	1	0	0	2	36
chr1	228628183	228637147	1	1	0	0	1	27
chr1	228628183	228639378	1	1	0	0	2	36
chr1	228628183	228639388	1	1	0	0	1	27
chr1	228628183	228641609	1	1	0	0	2	36
chr1	228628183	228641619	1	1	0	0	1	27
chr1	228628183	228643850	1	1	0	0	2	36
chr1	228628183	228643860	1	1	0	0	1	27
chr1	228628183	228646081	1	1	0	0	2	36
chr1	228628183	228646091	1	1	0	0	1	27
chr1	228628189	228630431	1	1	0	0	2	39
chr1	228628189	228630441	1	1	0	0	1	28
chr1	228628189	228632672	1	1	0	0	2	39
chr1	228628189	228632682	1	1	0	0	1	28
chr1	228628189	228634912	1	1	0	0	2	39
chr1	228628189	228634922	1	1	0	0	1	28
chr1	228628189	228637137	1	1	0	0	2	39
chr1	228628189	228637147	1	1	0	0	1	28
chr1	228628189	228639378	1	1	0	0	2	39
chr1	228628189	228639388	1	1	0	0	1	28
chr1	228628189	228641609	1	1	0	0	2	39
chr1	228628189	228641619	1	1	0	0	1	28
chr1	228628189	228643850	1	1	0	0	2	39
chr1	228628189	228643860	1	1	0	0	1	28
chr1	228628189	228646081	1	1	0	0	1	38
chr1	228628189	228646091	1	1	0	0	1	28
chr1	229626357	229627620	1	1	1	1	0	8
chr1	230265368	230274444	1	1	1	1	0	18
chr1	235113911	235119817	2	2	1	0	1	8
chr1	235367553	235380018	1	1	1	0	2	3
chr1	244862731	244863616	2	2	1	1	0	3
chr1	247330082	247331431	2	2	1	1	0	3
chr2	1673813	1676926	2	2	1	1	0	17
chr2	10123853	10124716	1	1	1	0	1	3
chr2	11564443	11584816	1	3	0	0	1	18
chr2	15556820	15558579	2	2	1	0	3	5
chr2	19346749	19347987	2	2	1	0	2	4
chr2	20202936	20203086	2	2	1	1	0	12
chr2	32916346	32916402	1	1	0	0	2	13
chr2	32916346	32916442	1	1	0	0	2	13
chr2	32916346	32916474	1	1	0	1	4	41
