none_1,none_2,Cyclon_1,Cyclon_2,Cyclon-CT_1,Cyclon-CT_2,Cyclon-NT_1,Cyclon-NT_2,gene_type,gene_name,Cyclon_mean
0.0,12132.81855506316,22486.976728257177,21095.81155571607,27496.49354454404,18389.231363597966,23038.622591814637,16068.989649081352,ribozyme,RMRP,21791.394141986624
0.0,11951.731710957738,22151.350209924974,20780.94869667553,27086.098118506077,18114.765223842773,22694.762553130837,15829.153982677151,lncRNA,RMRP,21466.14945330025
0.0,0.0,20687.72248785084,21665.085745369903,18762.01131832908,7954.892219084515,26212.32848987129,20839.72025772683,misc_RNA,VTRNA1-2,21176.40411661037
0.0,7850.647300334986,18278.10923223669,16976.75789061086,30542.863188291398,17146.21172029202,17788.06914118265,12294.61625911309,snoRNA,SNORA73B,17627.433561423775
0.0,0.0,15294.234140181645,18013.889759705802,13565.09151658017,8825.963637953271,22008.46448677873,14395.107181906318,tRNA,tRNA30031,16654.061949943723
0.0,0.0,14121.853822815803,13697.792787150753,8484.852679528902,6938.010308674538,16257.12359302122,11870.817991471104,tRNA,tRNA35832,13909.823304983278
0.0,0.0,10314.886842681932,16360.613009638884,12472.971109850892,10305.309803024702,21004.476911151363,19012.720525971887,rRNA,RNA5S9,13337.749926160408
0.0,0.0,13556.979669903172,13012.903147793217,9050.50952483083,8171.434363550011,19644.024341567303,10587.486316717472,tRNA,tRNA20137,13284.941408848194
0.0,13806.310769554628,13177.150498117093,11619.50698496236,22792.06978397592,21743.086329426584,11013.266916824,13154.149666224735,snRNA,RNU5A-1,12398.328741539726
0.0,0.0,10689.157047423654,11520.194959449864,13082.62755031636,8266.313137001971,13886.293069038958,11467.720221836951,lncRNA,ENSG00000286171,11104.676003436758
0.0,0.0,11579.92013470896,9880.16720480596,7730.643552459668,7023.664756929779,14657.75379509668,8769.433110816492,tRNA,tRNA25584,10730.04366975746
21615.020721060395,14428.216660075108,9759.82097599825,10259.633086071624,12327.24242148974,8675.17511869435,15012.20872328536,9914.98968835558,ribozyme,RPPH1,10009.727031034938
